,Id,OverallQual,YearBuilt,YearRemodAdd,BsmtFinType1_Unf,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch,YearsSinceRemodel,Total_Home_Quality,LotFrontage,LotArea,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,Saleprice
0,1,7,2003,2003,0,1,0,1,1,1,5,10.991516944753029,18.144572803466183,13.833054092046368,3.991516944753028,19.433174569383446,144.11786242673872,0.0,29.99105545399913,422.48851014207617,5.93903350849181,1025.6519786001843,0.0,8.353542942264717,0.9934397541368476,0.0,2,1.0688365966619182,3,0.7509568431355167,2.261967859312266,0.0,2003.0,2.0,548.0,0.0,12.080308768038757,0.0,0.0,0.0,0.0,0.0,208500.9999999997
1,2,6,1976,1976,0,0,1,1,1,1,31,12.000033100418737,20.6736252025111,14.1179176287918,6.000033100418736,54.59815003314424,181.71918596096697,0.0,44.13541521604078,593.888179174285,6.234990039117097,665.1416330443618,0.0,7.974693161625503,0.0,0.7108953782705213,2,0.0,3,0.7509568431355167,1.9965771941053203,0.9033340735031736,1976.0,2.0,460.0,56.18422271355397,0.0,0.0,0.0,0.0,0.0,0.0,181500.99999999997
2,3,7,2001,2002,0,1,0,1,1,1,6,10.991516944753029,18.668046572256824,14.476512277875536,3.991516944753028,17.76884000783396,110.44103339501471,0.0,56.89653556200885,450.0797164469504,5.994335648742329,1040.521059588294,0.0,8.408063625280336,0.9934397541368476,0.0,2,1.0688365966619182,3,0.7509568431355167,1.9965771941053203,0.9033340735031736,2001.0,2.0,608.0,0.0,9.901080642963466,0.0,0.0,0.0,0.0,0.0,223500.99999999985
3,4,7,1915,1970,0,1,0,0,1,1,36,10.991516944753029,17.249650674491868,14.106196371452382,3.991516944753028,54.59815003314424,61.79531472926011,0.0,64.80885767089812,378.8545679070909,6.027703763430061,904.477421670309,0.0,8.358661771275798,0.9934397541368476,0.0,1,0.0,3,0.7509568431355167,2.1373692666038178,0.9033340735031736,1998.0,3.0,642.0,0.0,8.966115420792315,16.020711318813216,0.0,0.0,0.0,0.0,140000.99999999985
4,5,8,2000,2000,0,0,0,1,1,1,8,11.991516944753029,21.314282603658384,15.022007961573872,3.991516944753028,25.40416393312466,136.6246010665405,0.0,61.166379358888896,545.309927337651,6.161221033832233,1273.0248626816358,0.0,8.669320774033242,0.9934397541368476,0.0,2,1.0688365966619182,4,0.7509568431355167,2.373752707640205,0.9033340735031736,2000.0,3.0,836.0,42.245701565829066,14.271568277939329,0.0,0.0,0.0,0.0,0.0,250001.0000000001
5,6,5,1993,1995,0,0,0,1,0,1,14,8.991516944753029,21.472480451027483,14.998256810591345,3.991516944753028,54.59815003314424,147.87648331988058,0.0,17.718037724289616,396.3889773211368,5.883143505612089,671.029690352447,0.0,8.069453522682036,0.9934397541368476,0.0,1,1.0688365966619182,1,0.7509568431355167,1.8346585068439765,0.0,1993.0,2.0,480.0,14.912199386698845,8.2354297818975,0.0,7.114653253418973,0.0,0.0,6.937473545957068,143001.00000000026
6,7,8,2004,2005,0,0,0,1,1,1,2,11.991516944753029,19.854050242686768,14.228588972404436,3.991516944753028,18.962283712356108,230.75572109422544,0.0,47.14731214029264,765.6413491219331,6.45654448697076,665.1416330443618,0.0,8.341766092774387,0.9934397541368476,0.0,2,0.0,3,0.7509568431355167,2.1373692666038178,0.9033340735031736,2004.0,2.0,636.0,50.79469558619503,11.655818723905671,0.0,0.0,0.0,0.0,0.0,307001.00000000023
7,8,7,1973,1973,0,0,0,0,1,1,36,11.679500696266022,20.6736252025111,14.29434430498478,4.679500696266022,21.35533025529628,165.70577132602193,4.749196086553424,37.422804421678585,529.4025787506318,6.135566751888147,1185.8242558607346,0.0,8.605751398870296,0.9934397541368476,0.0,2,1.0688365966619182,3,0.7509568431355167,2.1373692666038178,1.6882544742767884,1973.0,2.0,484.0,48.17486113853135,22.329537258128248,14.958218437499069,0.0,0.0,0.0,6.167518114203634,200000.99999999985
8,9,7,1931,1950,1,0,1,0,1,1,58,10.991516944753029,15.558090629250769,13.126988104932302,3.991516944753028,54.59815003314424,665.1416330443618,0.0,90.70348895519702,463.7853950865341,6.074709214084959,899.5416728454791,0.0,8.399606354386238,0.0,0.0,2,0.0,2,1.2485432660769678,2.261967859312266,1.6882544742767884,1931.0,2.0,468.0,25.69355186169217,0.0,14.347075787378763,0.0,0.0,0.0,0.0,129901.00000000004
9,10,5,1939,1950,0,1,0,1,1,1,58,9.679500696266022,15.362899946819857,13.546135428259038,4.679500696266022,54.59815003314424,164.60664417710817,0.0,28.7541691939841,480.4124376031028,6.114659151527404,665.1416330443618,0.0,7.778428682327109,0.9934397541368476,0.0,1,0.0,2,1.2485432660769678,1.8346585068439765,1.6882544742767884,1939.0,1.0,205.0,0.0,2.367077440099916,0.0,0.0,0.0,0.0,0.0,118001.0
